,rank_x,team,points_x,rank_y,points_y,rank_x,points_x,rank_y,points_y,total.games_x,total.wins_x,total.losses_x,total.ties_x,total.games_y,total.wins_y,total.losses_y,total.ties_y,total.games_x,total.wins_x,total.losses_x,total.ties_x,total.games_y,total.wins_y,total.losses_y,total.ties_y,totalPPA,percentPPA
98,99,Hawai'i,108.34,122,98.16,108,111.87,86,133.96,13,4,9,0,13,3,10,0,14,7,7,0,12,3,9,0,77.3,0.284
99,100,Buffalo,108.06,118,103.21,118,107.51,113,112.97,11,5,6,0,12,5,7,0,12,2,10,0,12,6,6,0,313.8,0.74
100,101,Ball State,107.53,105,119.7,113,110.91,90,128.8,12,5,7,0,12,3,9,0,12,4,8,0,12,2,10,0,184.7,1.256
101,102,Ohio,105.12,92,128.68,115,109.82,103,120.83,12,6,6,0,13,8,5,0,14,8,6,0,13,9,4,0,266.7,0.729
102,103,North Texas,105.0,94,126.6,102,122.36,115,111.16,12,4,8,0,12,1,11,0,13,5,8,0,14,9,5,0,400.0,0.731
103,105,Georgia State,102.91,124,90.61,127,96.32,105,119.23,12,1,11,0,13,6,7,0,12,3,9,0,12,7,5,0,150.3,0.551
104,106,Bowling Green,102.64,104,119.83,111,111.58,81,138.14,14,8,6,0,14,10,4,0,12,4,8,0,12,2,10,0,166.5,0.595
105,107,Louisiana,102.49,78,146.18,106,115.83,121,104.33,13,9,4,0,12,4,8,0,13,6,7,0,12,5,7,0,220.4,0.752
106,108,Navy,101.9,112,114.7,91,132.07,88,131.73,13,8,5,0,13,11,2,0,14,9,5,0,13,7,6,0,230.3,0.768
107,109,Florida International,100.66,100,120.42,104,119.8,83,137.75,12,4,8,0,12,5,7,0,12,4,8,0,13,8,5,0,87.9,0.228
108,110,Connecticut,98.31,99,120.89,99,126.83,101,121.64,12,2,10,0,13,6,7,0,12,3,9,0,12,3,9,0,168.2,0.522
109,111,Utah State,97.8,96,124.56,92,130.65,104,120.0,14,10,4,0,13,6,7,0,12,3,9,0,13,6,7,0,204.9,0.699
110,112,Air Force,97.78,123,98.02,114,110.9,109,115.88,13,10,3,0,14,8,6,0,13,10,3,0,12,5,7,0,210.7,0.667
111,113,Akron,97.33,127,82.38,132,82.29,131,88.91,12,5,7,0,13,8,5,0,12,5,7,0,14,7,7,0,84.0,0.335
112,115,South Alabama,96.08,88,132.17,87,134.08,116,110.24,13,6,7,0,12,5,7,0,13,6,7,0,12,4,8,0,137.2,0.638
113,116,Central Michigan,91.2,97,123.63,107,112.52,93,127.4,13,7,6,0,13,7,6,0,13,6,7,0,13,8,5,0,61.5,0.198
114,117,UNLV,91.15,106,119.46,81,142.78,117,109.9,13,2,11,0,12,3,9,0,12,4,8,0,12,5,7,0,244.2,0.783
115,118,UTEP,89.53,128,73.03,125,99.39,133,85.51,13,7,6,0,12,5,7,0,12,4,8,0,12,0,12,0,11.3,0.323
116,120,UMass,87.9,107,118.12,86,136.04,110,115.82,12,3,9,0,12,3,9,0,12,2,10,0,12,4,8,0,380.0,0.862
117,121,Army,87.22,120,100.83,117,108.9,120,106.37,12,4,8,0,12,2,10,0,13,8,5,0,13,10,3,0,165.8,0.599
118,122,New Mexico State,86.79,125,87.78,128,94.49,129,94.57,12,2,10,0,12,3,9,0,12,3,9,0,13,7,6,0,141.1,0.314
119,123,Kent State,86.65,102,119.93,131,82.77,128,94.88,11,2,9,0,12,3,9,0,12,3,9,0,12,2,10,0,59.6,0.805
120,124,Eastern Michigan,84.89,115,110.15,121,102.89,123,100.97,12,2,10,0,12,1,11,0,13,7,6,0,12,5,7,0,49.3,0.183
121,125,Miami (OH),84.76,74,150.48,93,129.79,94,126.73,12,2,10,0,12,3,9,0,13,6,7,0,12,5,7,0,206.3,0.661
122,126,Louisiana Monroe,84.48,108,116.67,124,99.51,102,121.55,12,4,8,0,13,2,11,0,12,4,8,0,12,4,8,0,353.2,0.803
123,127,UT San Antonio,81.73,103,119.88,103,120.32,75,151.48,12,4,8,0,12,3,9,0,13,6,7,0,11,6,5,0,23.2,0.087
124,128,Wyoming,80.87,113,114.32,116,109.65,99,122.05,12,4,8,0,12,2,10,0,14,8,6,0,13,8,5,0,116.2,0.57
125,129,Idaho,77.86,121,98.54,123,101.42,134,83.36,11,1,10,0,12,4,8,0,13,9,4,0,12,4,8,0,50.9,0.209
126,132,Troy,64.21,117,107.58,98,127.73,96,123.9,12,3,9,0,12,4,8,0,13,10,3,0,13,11,2,0,165.4,0.411
