conference,team,offense.overall,defense.overall
Big Ten,Ohio State,0.29434851683155709197,0.12724565454388374875
Big 12,Oklahoma,0.49554685823597979235,0.28363859132213202657
Big 12,Oklahoma State,0.27733165043551024581,0.22581916992820625766
Conference USA,Old Dominion,0.15656033860651964225,0.21473894786872558498
SEC,Ole Miss,0.30273517715682390543,0.23446146411788149112
Pac-12,Oregon,0.22838148101893679989,0.10517236110854655787
Pac-12,Oregon State,0.15041456808257478720,0.40927033508515992737
Big Ten,Penn State,0.21187464332945371347,0.06655931572430180159
ACC,Pittsburgh,0.20405257968305042722,0.16634541283543801425
Big Ten,Purdue,0.20765667768769379626,0.20489779295723700697
Conference USA,Rice,0.05269683711842565837,0.33626967576368570294
Big Ten,Rutgers,-0.01964004489778018943,0.18188148376624319793
Mountain West,San Diego State,0.14599086185148103149,0.12351717684453728955
Mountain West,San José State,0.00916240165080666365,0.23685953962661547228
American Athletic,SMU,0.10590890264346348884,0.18588176505928033387
Sun Belt,South Alabama,0.10014787709915768550,0.27076451149654716266
SEC,South Carolina,0.21182738020615668172,0.22211078935025483059
Conference USA,Southern Mississippi,0.09429983978753801292,0.02073361994501112894
American Athletic,South Florida,0.20078587761052408410,0.21871426832492096765
Pac-12,Stanford,0.20146493010532751713,0.16672096805408783265
ACC,Syracuse,0.18704669146723091653,0.14744508756745048373
Big 12,TCU,0.07239265656402072342,0.09703732402900250603
American Athletic,Temple,0.18506271497598632495,0.10365502716173336029
SEC,Tennessee,0.13104035931565383758,0.18249216890500145540
Big 12,Texas,0.22597410283148868517,0.18012986723388498230
SEC,Texas A&M,0.24243459950213200058,0.16551803798406635257
Sun Belt,Texas State,0.08554905401328747001,0.11919539288964322878
Big 12,Texas Tech,0.22349722503321105017,0.19644025344410538973
Mid-American,Toledo,0.21865813548843684328,0.18867682560281845242
Sun Belt,Troy,0.20573513552318809920,0.13477159456681393014
American Athletic,Tulane,0.14247785521299882844,0.12915561524035362075
American Athletic,Tulsa,0.12580017744562858026,0.17241769124466269683
Conference USA,UAB,0.20972100524556365595,0.01336888993417156059
American Athletic,UCF,0.34880825334625733127,0.11794022129726136343
Pac-12,UCLA,0.17873271030457587281,0.22579656780337478728
FBS Independents,UMass,0.23402604230193459817,0.27321164015583013652
Mountain West,UNLV,0.17080198653160115750,0.29439642645350337407
Pac-12,USC,0.18012952772990865451,0.15655681399997269960
Pac-12,Utah,0.15148828203203987966,0.02373724065895637410
Mountain West,Utah State,0.32944918393448596434,0.01775652913939314153
Conference USA,UTEP,0.03716533594569369227,0.16341734747204077164
Conference USA,UT San Antonio,-0.02247932695021358970,0.23330238451752183901
SEC,Vanderbilt,0.24117633729961235435,0.25674083177609735378
ACC,Virginia,0.20436107074834523753,0.11493850401805189338
ACC,Virginia Tech,0.19249984418105769085,0.25220479579609246242
ACC,Wake Forest,0.16835551205411405457,0.20761581986443322346
Pac-12,Washington,0.21139265992002827077,0.06808541186704336450
Pac-12,Washington State,0.27680667479958778111,0.16397742097102668006
Conference USA,Western Kentucky,0.10225262734696944678,0.14635807172061955956
Mid-American,Western Michigan,0.19930227251069773480,0.26341807373686086198
Big 12,West Virginia,0.29575700442311499798,0.18768386367451417186
Big Ten,Wisconsin,0.26854623995868134333,0.11934259244298191405
Mountain West,Wyoming,0.11809038787722840555,0.10097558904796348155
