team,year,rank,points,year,rank,points,year,rank,points,year,rank,points,year,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,season,totalPPA,percentPPA
BYU,2014,64,161.71,2015,65,165.06,2016,49,177.85,2017,66,167.37,2014,13,8,5,0,13,9,4,0,13,9,4,0,13,4,9,0,2018,220.0,0.863
Cincinnati,2014,65,161.43,2015,68,162.45,2016,74,152.74,2017,63,167.8,2014,13,9,4,0,13,7,6,0,12,4,8,0,12,4,8,0,2018,220.2,0.795
Utah,2014,66,160.67,2015,45,183.38,2016,37,200.66,2017,33,205.78,2014,13,9,4,0,13,10,3,0,13,9,4,0,13,7,6,0,2018,220.8,0.541
Wake Forest,2014,67,160.4,2015,51,176.85,2016,57,169.4,2017,68,161.99,2014,12,3,9,0,12,3,9,0,13,7,6,0,13,8,5,0,2018,182.5,0.363
UCF,2014,68,159.55,2015,71,160.78,2016,65,162.22,2017,55,178.34,2014,13,9,4,0,12,0,12,0,13,6,7,0,13,13,0,0,2018,506.9,0.773
Temple,2014,69,156.27,2015,80,143.34,2016,59,167.55,2017,119,108.13,2014,12,6,6,0,14,10,4,0,14,10,4,0,13,7,6,0,2018,192.9,0.53
Purdue,2014,70,156.02,2015,67,162.85,2016,80,145.09,2017,72,158.89,2014,12,3,9,0,12,2,10,0,12,3,9,0,13,7,6,0,2018,213.9,0.778
Western Michigan,2014,71,153.42,2015,76,147.78,2016,67,160.72,2017,89,129.94,2014,13,8,5,0,13,8,5,0,14,13,1,0,12,6,6,0,2018,206.0,0.798
Illinois,2014,72,153.35,2015,48,181.74,2016,73,153.64,2017,46,185.24,2014,13,6,7,0,12,5,7,0,12,3,9,0,12,2,10,0,2018,104.0,0.77
San Diego State,2014,73,147.92,2015,70,161.96,2016,82,141.93,2017,77,149.69,2014,13,7,6,0,14,11,3,0,14,11,3,0,13,10,3,0,2018,173.3,0.451
Colorado,2014,74,147.9,2015,69,162.04,2016,69,160.42,2017,35,203.78,2014,12,2,10,0,13,4,9,0,14,10,4,0,12,5,7,0,2018,203.9,0.578
Houston,2014,75,144.26,2015,89,131.58,2016,36,201.5,2017,69,160.34,2014,13,8,5,0,14,13,1,0,13,9,4,0,12,7,5,0,2018,120.9,0.324
East Carolina,2014,76,136.87,2015,93,126.85,2016,79,146.62,2017,79,144.55,2014,13,8,5,0,12,5,7,0,12,3,9,0,12,3,9,0,2018,99.1,0.272
Old Dominion,2014,77,136.07,2015,110,115.65,2016,120,106.63,2017,124,99.41,2014,12,6,6,0,12,5,7,0,13,10,3,0,12,5,7,0,2018,103.4,0.718
Memphis,2014,78,135.91,2015,77,146.79,2016,61,165.98,2017,56,177.6,2014,13,10,3,0,13,9,4,0,13,8,5,0,13,10,3,0,2018,268.0,0.4
