id,week,home_id,home_team,home_points,away_id,away_team,away_points
401012739,3,251,Texas,37,30,USC,14
401013439,3,166,New Mexico State,25,167,New Mexico,42
401022521,3,2439,UNLV,46,2504,Prairie View,17
401012742,3,254,Utah,7,264,Washington,21
401012738,3,21,San Diego State,28,9,Arizona State,21
401012740,3,26,UCLA,14,278,Fresno State,38
401012737,3,12,Arizona,62,253,Southern Utah,31
401019489,4,218,Temple,31,202,Tulsa,17
401019490,4,2116,UCF,56,2226,Florida Atlantic,36
401012807,4,356,Illinois,24,213,Penn State,63
401012748,4,30,USC,39,265,Washington State,36
401012288,4,145,Ole Miss,38,2309,Kent State,17
401012875,4,120,Maryland,42,135,Minnesota,13
401013040,4,66,Iowa State,26,2006,Akron,13
401012289,4,142,Missouri,29,61,Georgia,43
401013129,4,154,Wake Forest,27,87,Notre Dame,56
401019495,4,2567,SMU,31,2426,Navy,30
401019491,4,2132,Cincinnati,34,195,Ohio,30
401012891,4,130,Michigan,56,158,Nebraska,10
401012823,4,164,Rutgers,13,2084,Buffalo,42
401013119,4,2509,Purdue,30,103,Boston College,13
401020685,4,2649,Toledo,63,2440,Nevada,44
401013125,4,153,North Carolina,38,221,Pittsburgh,35
401013123,4,258,Virginia,27,97,Louisville,3
401020686,4,2247,Georgia State,15,2711,Western Michigan,34
401015000,4,2050,Ball State,20,98,Western Kentucky,28
401022523,4,36,Colorado State,19,2287,Illinois State,35
401020684,4,2117,Central Michigan,17,311,Maine,5
401020811,4,189,Bowling Green,23,193,Miami (OH),38
401012284,4,333,Alabama,45,245,Texas A&M,23
401013360,4,113,UMass,49,2429,Charlotte,31
401013059,4,277,West Virginia,35,2306,Kansas State,6
401013128,4,295,Old Dominion,49,259,Virginia Tech,35
401013029,4,239,Baylor,26,2305,Kansas,7
401013124,4,2390,Miami,31,2229,Florida International,17
401021661,4,2026,Appalachian State,72,2241,Gardner-Webb,7
401013121,4,150,Duke,55,2428,North Carolina Central,13
401013346,4,194,Ohio State,49,2655,Tulane,6
401013120,4,59,Georgia Tech,21,228,Clemson,49
401013122,4,52,Florida State,37,2459,Northern Illinois,19
401012750,4,204,Oregon State,14,12,Arizona,35
401013127,4,183,Syracuse,51,41,Connecticut,21
401012291,4,238,Vanderbilt,14,2579,South Carolina,37
