id,home_id,home_team,home_points,away_id,away_team,away_points,week
401114328,349,Army,33,2655,Tulane,42,6
401112260,213,Penn State,35,2509,Purdue,7,6
401112126,2641,Texas Tech,45,197,Oklahoma State,35,6
401112269,275,Wisconsin,48,2309,Kent State,0,6
401117876,41,Connecticut,22,58,South Florida,48,6
401112205,164,Rutgers,7,120,Maryland,48,6
401112473,97,Louisville,41,103,Boston College,39,6
401112088,66,Iowa State,49,2628,TCU,24,6
401119273,2117,Central Michigan,42,2199,Eastern Michigan,16,6
401119272,2459,Northern Illinois,20,2050,Ball State,27,6
401110812,57,Florida,24,2,Auburn,13,6
401121949,2247,Georgia State,52,2032,Arkansas State,38,6
401119275,2649,Toledo,31,2711,Western Michigan,24,6
401112476,2390,Miami,35,259,Virginia Tech,42,6
401119274,2084,Buffalo,20,195,Ohio,21,6
401117516,2426,Navy,34,2005,Air Force,25,6
401112137,277,West Virginia,31,251,Texas,42,6
401114337,87,Notre Dame,52,189,Bowling Green,0,6
401112077,2306,Kansas State,12,239,Baylor,31,6
401114275,2393,Middle Tennessee,24,276,Marshall,13,6
401112149,135,Minnesota,40,356,Illinois,17,6
401117877,2433,Louisiana Monroe,33,235,Memphis,52,6
401110815,142,Missouri,42,2653,Troy,10,6
401112475,59,Georgia Tech,22,153,North Carolina,38,6
401112242,158,Nebraska,13,77,Northwestern,10,6
401114167,38,Colorado,30,12,Arizona,35,6
401114276,295,Old Dominion,3,98,Western Kentucky,20,6
401114277,5,UAB,35,242,Rice,20,6
401114274,2229,Florida International,44,113,UMass,0,6
401110816,2633,Tennessee,14,61,Georgia,43,6
401110814,145,Ole Miss,31,238,Vanderbilt,6,6
401112216,194,Ohio State,34,127,Michigan State,10,6
401117878,2567,SMU,43,202,Tulsa,37,6
401114177,2483,Oregon,17,25,California,7,6
401112474,150,Duke,30,221,Pittsburgh,33,6
401114342,166,New Mexico State,13,2335,Liberty,20,6
401114278,2638,UTEP,16,2636,UT San Antonio,26,6
401114203,26,UCLA,31,204,Oregon State,48,6
401117518,36,Colorado State,10,21,San Diego State,24,6
401114209,24,Stanford,23,264,Washington,13,6
401117517,2439,UNLV,13,68,Boise State,38,6
401121950,309,Louisiana,7,2026,Appalachian State,17,7
401112477,152,NC State,16,183,Syracuse,10,7
401121951,326,Texas State,14,2433,Louisiana Monroe,24,7
401117522,167,New Mexico,21,36,Colorado State,35,7
401112478,2390,Miami,17,258,Virginia,9,7
401114186,2483,Oregon,45,38,Colorado,3,7
401112150,356,Illinois,25,130,Michigan,42,7
401110821,2633,Tennessee,20,344,Mississippi State,10,7
401110817,61,Georgia,17,2579,South Carolina,20,7
401112162,84,Indiana,35,164,Rutgers,0,7
401119280,189,Bowling Green,20,2649,Toledo,7,7
401117881,218,Temple,30,235,Memphis,28,7
401119278,2711,Western Michigan,38,193,Miami (OH),16,7
401112206,2509,Purdue,40,120,Maryland,14,7
401112118,251,Texas,27,201,Oklahoma,34,7
401112480,150,Duke,41,59,Georgia Tech,23,7
401119276,2199,Eastern Michigan,23,2050,Ball State,29,7
401114283,276,Marshall,31,295,Old Dominion,17,7
401114343,2117,Central Michigan,42,166,New Mexico State,28,7
401110822,245,Texas A&M,28,333,Alabama,47,7
401119279,195,Ohio,36,2459,Northern Illinois,39,7
401117214,58,South Florida,27,252,BYU,23,7
401112479,228,Clemson,45,52,Florida State,14,7
401114157,9,Arizona State,38,265,Washington State,34,7
401119277,2006,Akron,3,2309,Kent State,26,7
401112217,275,Wisconsin,38,127,Michigan State,0,7
401117879,248,Houston,23,2132,Cincinnati,38,7
401117880,2655,Tulane,49,41,Connecticut,7,7
401112078,239,Baylor,33,2641,Texas Tech,30,7
401112089,277,West Virginia,14,66,Iowa State,38,7
401110823,238,Vanderbilt,10,2439,UNLV,34,7
401114280,2226,Florida Atlantic,28,2393,Middle Tennessee,13,7
401112482,259,Virginia Tech,34,227,Rhode Island,17,7
401117524,2440,Nevada,41,23,San José State,38,7
401121952,324,Coastal Carolina,21,2247,Georgia State,31,7
401114284,2636,UT San Antonio,14,5,UAB,33,7
401110820,142,Missouri,38,145,Ole Miss,27,7
401114281,2348,Louisiana Tech,69,113,UMass,21,7
401114285,98,Western Kentucky,17,349,Army,8,7
401117520,2005,Air Force,43,278,Fresno State,24,7
401114279,2229,Florida International,48,2429,Charlotte,23,7
401114282,2572,Southern Mississippi,45,249,North Texas,27,7
401112481,154,Wake Forest,59,97,Louisville,62,7
401110818,96,Kentucky,24,8,Arkansas,20,7
401117882,202,Tulsa,17,2426,Navy,45,7
401112233,135,Minnesota,34,158,Nebraska,7,7
401114222,87,Notre Dame,30,30,USC,27,7
401112195,2294,Iowa,12,213,Penn State,17,7
401110819,99,LSU,42,57,Florida,28,7
401114204,204,Oregon State,7,254,Utah,52,7
401117521,68,Boise State,59,62,Hawai'i,37,7
401117523,21,San Diego State,26,2751,Wyoming,22,7
401114168,12,Arizona,27,264,Washington,51,7
401121953,2653,Troy,37,6,South Alabama,13,8
401121954,2032,Arkansas State,20,309,Louisiana,37,8
401114210,24,Stanford,16,26,UCLA,34,8
401114288,2226,Florida Atlantic,31,276,Marshall,36,8
401112483,183,Syracuse,20,221,Pittsburgh,27,8
401112248,77,Northwestern,3,194,Ohio State,52,8
401117528,278,Fresno State,56,2439,UNLV,27,8
401112485,97,Louisville,10,228,Clemson,45,8
401112151,356,Illinois,24,275,Wisconsin,23,8
401110829,2579,South Carolina,27,57,Florida,38,8
401119283,195,Ohio,45,2309,Kent State,38,8
401117886,41,Connecticut,17,248,Houston,24,8
401112196,2294,Iowa,26,2509,Purdue,20,8
401110825,8,Arkansas,10,2,Auburn,51,8
401112090,2641,Texas Tech,24,66,Iowa State,34,8
401112119,201,Oklahoma,52,277,West Virginia,14,8
401112484,103,Boston College,45,152,NC State,24,8
401112488,2390,Miami,21,59,Georgia Tech,28,8
401119282,189,Bowling Green,20,2117,Central Michigan,38,8
401119285,2050,Ball State,52,2649,Toledo,14,8
401119284,193,Miami (OH),27,2459,Northern Illinois,24,8
401112109,2306,Kansas State,24,2628,TCU,17,8
