team,rank,points,rank,points,rank,points,rank,points,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,totalPPA,percentPPA
Texas,17,239.85,10,272.49,7,280.66,25,217.76,13,6,7,0,12,5,7,0,12,5,7,0,13,7,6,0,196.1,0.651
UCLA,18,239.74,12,269.68,13,259.06,20,229.13,13,10,3,0,13,8,5,0,12,4,8,0,13,6,7,0,174.9,0.345
South Carolina,19,239.33,20,230.49,25,216.77,21,227.58,13,7,6,0,12,3,9,0,13,6,7,0,13,9,4,0,273.8,0.889
Michigan,20,233.54,37,194.82,8,280.38,5,296.03,12,5,7,0,13,10,3,0,13,10,3,0,13,8,5,0,173.5,0.745
Oregon,21,232.44,16,245.79,27,216.42,19,230.04,15,13,2,0,13,9,4,0,12,4,8,0,13,7,6,0,255.4,0.657
Kentucky,22,225.4,38,193.19,34,204.07,30,207.73,12,5,7,0,12,5,7,0,13,7,6,0,13,7,6,0,108.9,0.34
Arizona State,23,223.19,19,232.73,24,217.62,32,206.68,13,10,3,0,13,6,7,0,12,5,7,0,13,7,6,0,378.9,0.896
Penn State,24,221.35,14,250.0,20,237.79,15,240.47,13,7,6,0,13,7,6,0,14,11,3,0,13,11,2,0,319.9,0.589
Baylor,25,218.13,36,195.88,40,191.99,40,193.36,13,11,2,0,13,10,3,0,13,7,6,0,12,1,11,0,287.4,0.84
Michigan State,26,217.62,23,221.77,17,239.13,36,203.65,13,11,2,0,14,12,2,0,12,3,9,0,13,10,3,0,325.7,0.947
Oklahoma State,27,217.59,40,191.28,45,184.33,38,194.18,13,7,6,0,13,10,3,0,13,10,3,0,13,10,3,0,219.5,0.306
Virginia Tech,28,217.39,29,212.07,42,190.06,26,217.74,13,7,6,0,13,7,6,0,14,10,4,0,13,9,4,0,236.7,0.688
Arkansas,29,215.5,22,222.51,23,219.34,27,212.74,13,7,6,0,13,8,5,0,13,7,6,0,12,4,8,0,248.0,0.665
North Carolina,30,213.58,28,214.05,32,204.83,29,207.81,13,6,7,0,14,11,3,0,13,8,5,0,12,3,9,0,234.3,0.828
Arizona,31,213.29,43,186.57,48,180.42,45,185.88,14,10,4,0,13,7,6,0,12,3,9,0,13,7,6,0,357.0,0.744
Wisconsin,32,205.44,41,189.85,35,202.85,39,193.87,14,11,3,0,13,10,3,0,14,11,3,0,14,13,1,0,403.9,0.861
Virginia,33,205.34,50,179.92,63,164.95,58,172.5,12,5,7,0,12,4,8,0,12,2,10,0,13,6,7,0,101.9,0.441
NC State,34,201.31,31,208.69,50,177.67,53,180.46,13,8,5,0,13,7,6,0,13,7,6,0,13,9,4,0,375.8,0.785
Nebraska,35,200.24,30,211.72,26,216.76,23,224.33,13,9,4,0,13,6,7,0,13,9,4,0,12,4,8,0,130.4,0.439
Mississippi State,36,199.92,18,237.46,28,211.11,24,220.22,13,10,3,0,13,9,4,0,13,6,7,0,13,9,4,0,258.8,0.866
Missouri,37,198.53,25,217.98,43,188.37,43,187.71,14,11,3,0,12,5,7,0,12,4,8,0,13,7,6,0,448.1,0.769
Washington,38,198.52,26,215.83,29,209.87,22,224.74,14,8,6,0,13,7,6,0,14,12,2,0,13,10,3,0,336.0,0.783
West Virginia,39,194.85,35,198.02,39,194.45,57,174.68,13,7,6,0,13,8,5,0,13,10,3,0,13,7,6,0,201.7,0.64
Texas Tech,40,191.82,32,203.18,44,184.64,49,183.07,12,4,8,0,13,7,6,0,12,5,7,0,13,6,7,0,78.0,0.153
Maryland,41,190.98,47,182.31,41,190.15,18,230.17,13,7,6,0,12,3,9,0,13,6,7,0,12,4,8,0,120.6,0.678
South Florida,42,189.74,66,163.15,66,161.21,76,150.65,12,4,8,0,13,8,5,0,13,11,2,0,12,10,2,0,126.2,0.287
TCU,43,188.64,39,191.44,21,235.79,28,210.03,13,12,1,0,13,11,2,0,13,6,7,0,14,11,3,0,198.1,0.411
Pittsburgh,44,187.66,46,183.18,30,209.23,37,202.12,13,6,7,0,13,8,5,0,13,8,5,0,12,5,7,0,152.9,0.503
Louisville,45,183.64,33,201.4,38,196.02,34,205.15,13,9,4,0,13,8,5,0,13,9,4,0,13,8,5,0,224.8,0.377
Vanderbilt,46,183.05,49,181.37,54,171.54,65,167.42,12,3,9,0,12,4,8,0,13,6,7,0,12,5,7,0,215.0,0.611
Northwestern,47,182.68,55,174.83,52,174.91,50,182.07,12,5,7,0,13,10,3,0,13,7,6,0,13,10,3,0,212.8,0.643
Indiana,48,180.46,53,175.35,53,172.23,62,167.99,12,4,8,0,13,6,7,0,13,6,7,0,12,5,7,0,94.9,0.3
Kansas State,49,178.29,54,175.02,72,155.49,61,169.37,13,9,4,0,13,6,7,0,13,9,4,0,13,8,5,0,180.2,0.57
Kansas,50,177.14,73,153.94,70,159.19,71,159.35,12,3,9,0,12,0,12,0,12,2,10,0,12,1,11,0,146.3,0.856
Boston College,51,177.12,60,169.45,78,146.69,67,162.61,13,7,6,0,12,3,9,0,13,7,6,0,13,7,6,0,167.0,0.777
Syracuse,52,176.87,57,172.06,62,165.15,54,180.08,12,3,9,0,12,4,8,0,12,4,8,0,12,4,8,0,179.3,0.573
Washington State,53,176.62,42,188.41,56,169.74,44,186.45,12,3,9,0,13,9,4,0,13,8,5,0,13,9,4,0,215.1,0.481
Georgia Tech,54,175.71,44,185.45,60,167.13,48,184.4,14,11,3,0,12,3,9,0,13,9,4,0,11,5,6,0,163.2,0.742
California,55,174.52,34,198.77,31,207.8,70,159.53,12,5,7,0,13,8,5,0,12,5,7,0,12,5,7,0,293.5,0.871
Rutgers,56,174.14,56,172.19,64,163.8,42,189.01,13,8,5,0,12,4,8,0,12,2,10,0,12,4,8,0,55.5,0.466
Minnesota,57,172.32,63,167.01,46,182.22,59,171.42,13,8,5,0,13,6,7,0,13,9,4,0,12,5,7,0,96.9,0.507
Iowa,58,171.84,59,169.99,47,181.39,41,191.44,13,7,6,0,14,12,2,0,13,8,5,0,13,8,5,0,252.9,0.824
Iowa State,59,171.65,64,166.5,55,170.58,52,180.53,12,2,10,0,12,3,9,0,12,3,9,0,13,8,5,0,248.9,0.567
Oregon State,60,166.96,61,167.89,58,169.17,51,181.32,12,5,7,0,12,2,10,0,12,4,8,0,12,1,11,0,135.8,0.505
Duke,61,166.35,52,175.77,33,204.67,47,184.46,13,9,4,0,13,8,5,0,12,4,8,0,13,7,6,0,224.9,0.849
Marshall,62,165.64,75,149.98,51,176.55,87,132.84,14,13,1,0,13,10,3,0,12,3,9,0,13,8,5,0,161.3,0.474
Boise State,63,163.09,58,171.68,68,160.66,64,167.43,14,12,2,0,13,9,4,0,13,10,3,0,14,11,3,0,241.9,0.533
BYU,64,161.71,65,165.06,49,177.85,66,167.37,13,8,5,0,13,9,4,0,13,9,4,0,13,4,9,0,220.0,0.863
Cincinnati,65,161.43,68,162.45,74,152.74,63,167.8,13,9,4,0,13,7,6,0,12,4,8,0,12,4,8,0,220.2,0.795
Utah,66,160.67,45,183.38,37,200.66,33,205.78,13,9,4,0,13,10,3,0,13,9,4,0,13,7,6,0,220.8,0.541
Wake Forest,67,160.4,51,176.85,57,169.4,68,161.99,12,3,9,0,12,3,9,0,13,7,6,0,13,8,5,0,182.5,0.363
UCF,68,159.55,71,160.78,65,162.22,55,178.34,13,9,4,0,12,0,12,0,13,6,7,0,13,13,0,0,506.9,0.773
Temple,69,156.27,80,143.34,59,167.55,119,108.13,12,6,6,0,14,10,4,0,14,10,4,0,13,7,6,0,192.9,0.53
Purdue,70,156.02,67,162.85,80,145.09,72,158.89,12,3,9,0,12,2,10,0,12,3,9,0,13,7,6,0,213.9,0.778
Western Michigan,71,153.42,76,147.78,67,160.72,89,129.94,13,8,5,0,13,8,5,0,14,13,1,0,12,6,6,0,206.0,0.798
Illinois,72,153.35,48,181.74,73,153.64,46,185.24,13,6,7,0,12,5,7,0,12,3,9,0,12,2,10,0,104.0,0.77
San Diego State,73,147.92,70,161.96,82,141.93,77,149.69,13,7,6,0,14,11,3,0,14,11,3,0,13,10,3,0,173.3,0.451
Colorado,74,147.9,69,162.04,69,160.42,35,203.78,12,2,10,0,13,4,9,0,14,10,4,0,12,5,7,0,203.9,0.578
Houston,75,144.26,89,131.58,36,201.5,69,160.34,13,8,5,0,14,13,1,0,13,9,4,0,12,7,5,0,120.9,0.324
East Carolina,76,136.87,93,126.85,79,146.62,79,144.55,13,8,5,0,12,5,7,0,12,3,9,0,12,3,9,0,99.1,0.272
Old Dominion,77,136.07,110,115.65,120,106.63,124,99.41,12,6,6,0,12,5,7,0,13,10,3,0,12,5,7,0,103.4,0.718
Memphis,78,135.91,77,146.79,61,165.98,56,177.6,13,10,3,0,13,9,4,0,13,8,5,0,13,10,3,0,268.0,0.4
Tulsa,79,130.3,109,116.08,95,128.52,85,135.07,12,2,10,0,13,6,7,0,13,10,3,0,12,2,10,0,205.8,0.74
SMU,80,128.23,81,142.99,75,152.27,80,140.4,12,1,11,0,12,2,10,0,12,5,7,0,13,7,6,0,321.9,0.639
Nevada,81,126.15,98,122.5,105,118.76,95,125.03,13,7,6,0,13,7,6,0,12,5,7,0,12,3,9,0,267.0,0.807
Southern Mississippi,82,125.74,87,133.4,100,126.05,74,152.71,12,3,9,0,14,9,5,0,13,7,6,0,13,8,5,0,166.0,0.429
San José State,83,124.98,62,167.14,84,137.84,98,122.11,12,3,9,0,13,6,7,0,12,4,8,0,13,2,11,0,167.7,0.986
Fresno State,84,124.42,72,155.02,85,137.22,84,137.74,14,6,8,0,12,3,9,0,12,1,11,0,14,10,4,0,343.7,0.855
Middle Tennessee,85,124.03,86,134.77,96,128.26,91,128.1,12,6,6,0,13,7,6,0,13,8,5,0,13,7,6,0,259.2,0.762
Colorado State,86,122.77,119,101.72,76,150.5,73,158.09,13,10,3,0,13,7,6,0,13,7,6,0,13,7,6,0,115.8,0.209
Appalachian State,87,121.25,114,112.03,109,111.72,107,116.78,12,7,5,0,13,11,2,0,13,10,3,0,13,9,4,0,133.0,0.324
Western Kentucky,88,121.12,111,115.65,101,124.1,82,138.03,13,8,5,0,14,12,2,0,14,11,3,0,13,6,7,0,100.2,0.22
Louisiana Tech,89,119.17,82,142.32,94,128.91,100,121.72,14,9,5,0,13,9,4,0,14,9,5,0,13,7,6,0,274.5,0.746
Tulane,90,118.86,91,128.9,97,127.78,112,114.66,12,3,9,0,12,3,9,0,12,4,8,0,12,5,7,0,262.9,0.845
Rice,91,117.7,101,120.11,129,93.86,122,101.12,13,8,5,0,12,5,7,0,12,3,9,0,12,1,11,0,119.4,0.635
Toledo,92,115.38,84,138.12,88,132.92,78,146.6,13,9,4,0,12,10,2,0,13,9,4,0,14,11,3,0,294.3,0.531
New Mexico,93,112.56,116,110.03,83,141.76,118,109.85,12,4,8,0,13,7,6,0,13,9,4,0,12,3,9,0,108.6,0.687
Florida Atlantic,94,111.77,79,146.02,89,132.74,60,171.18,12,3,9,0,12,3,9,0,12,3,9,0,14,11,3,0,255.6,0.494
Arkansas State,95,111.51,90,131.45,90,132.18,111,114.91,13,7,6,0,13,9,4,0,13,8,5,0,12,7,5,0,319.1,0.714
Georgia Southern,96,111.25,85,137.18,77,149.4,106,118.78,12,9,3,0,13,9,4,0,12,5,7,0,12,2,10,0,97.5,0.625
Texas State,97,109.9,95,124.71,110,111.71,92,127.89,12,7,5,0,12,3,9,0,12,2,10,0,12,2,10,0,75.5,0.37
Northern Illinois,98,109.52,83,138.94,112,111.4,97,122.74,14,11,3,0,14,8,6,0,12,5,7,0,13,8,5,0,163.1,0.64
Hawai'i,99,108.34,122,98.16,108,111.87,86,133.96,13,4,9,0,13,3,10,0,14,7,7,0,12,3,9,0,77.3,0.284
Buffalo,100,108.06,118,103.21,118,107.51,113,112.97,11,5,6,0,12,5,7,0,12,2,10,0,12,6,6,0,313.8,0.74
Ball State,101,107.53,105,119.7,113,110.91,90,128.8,12,5,7,0,12,3,9,0,12,4,8,0,12,2,10,0,184.7,1.256
Ohio,102,105.12,92,128.68,115,109.82,103,120.83,12,6,6,0,13,8,5,0,14,8,6,0,13,9,4,0,266.7,0.729
North Texas,103,105.0,94,126.6,102,122.36,115,111.16,12,4,8,0,12,1,11,0,13,5,8,0,14,9,5,0,400.0,0.731
Georgia State,105,102.91,124,90.61,127,96.32,105,119.23,12,1,11,0,13,6,7,0,12,3,9,0,12,7,5,0,150.3,0.551
Bowling Green,106,102.64,104,119.83,111,111.58,81,138.14,14,8,6,0,14,10,4,0,12,4,8,0,12,2,10,0,166.5,0.595
Louisiana,107,102.49,78,146.18,106,115.83,121,104.33,13,9,4,0,12,4,8,0,13,6,7,0,12,5,7,0,220.4,0.752
Navy,108,101.9,112,114.7,91,132.07,88,131.73,13,8,5,0,13,11,2,0,14,9,5,0,13,7,6,0,230.3,0.768
Florida International,109,100.66,100,120.42,104,119.8,83,137.75,12,4,8,0,12,5,7,0,12,4,8,0,13,8,5,0,87.9,0.228
Connecticut,110,98.31,99,120.89,99,126.83,101,121.64,12,2,10,0,13,6,7,0,12,3,9,0,12,3,9,0,168.2,0.522
Utah State,111,97.8,96,124.56,92,130.65,104,120.0,14,10,4,0,13,6,7,0,12,3,9,0,13,6,7,0,204.9,0.699
Air Force,112,97.78,123,98.02,114,110.9,109,115.88,13,10,3,0,14,8,6,0,13,10,3,0,12,5,7,0,210.7,0.667
Akron,113,97.33,127,82.38,132,82.29,131,88.91,12,5,7,0,13,8,5,0,12,5,7,0,14,7,7,0,84.0,0.335
South Alabama,115,96.08,88,132.17,87,134.08,116,110.24,13,6,7,0,12,5,7,0,13,6,7,0,12,4,8,0,137.2,0.638
Central Michigan,116,91.2,97,123.63,107,112.52,93,127.4,13,7,6,0,13,7,6,0,13,6,7,0,13,8,5,0,61.5,0.198
UNLV,117,91.15,106,119.46,81,142.78,117,109.9,13,2,11,0,12,3,9,0,12,4,8,0,12,5,7,0,244.2,0.783
UTEP,118,89.53,128,73.03,125,99.39,133,85.51,13,7,6,0,12,5,7,0,12,4,8,0,12,0,12,0,11.3,0.323
UMass,120,87.9,107,118.12,86,136.04,110,115.82,12,3,9,0,12,3,9,0,12,2,10,0,12,4,8,0,380.0,0.862
Army,121,87.22,120,100.83,117,108.9,120,106.37,12,4,8,0,12,2,10,0,13,8,5,0,13,10,3,0,165.8,0.599
New Mexico State,122,86.79,125,87.78,128,94.49,129,94.57,12,2,10,0,12,3,9,0,12,3,9,0,13,7,6,0,141.1,0.314
Kent State,123,86.65,102,119.93,131,82.77,128,94.88,11,2,9,0,12,3,9,0,12,3,9,0,12,2,10,0,59.6,0.805
Eastern Michigan,124,84.89,115,110.15,121,102.89,123,100.97,12,2,10,0,12,1,11,0,13,7,6,0,12,5,7,0,49.3,0.183
Miami (OH),125,84.76,74,150.48,93,129.79,94,126.73,12,2,10,0,12,3,9,0,13,6,7,0,12,5,7,0,206.3,0.661
Louisiana Monroe,126,84.48,108,116.67,124,99.51,102,121.55,12,4,8,0,13,2,11,0,12,4,8,0,12,4,8,0,353.2,0.803
UT San Antonio,127,81.73,103,119.88,103,120.32,75,151.48,12,4,8,0,12,3,9,0,13,6,7,0,11,6,5,0,23.2,0.087
Wyoming,128,80.87,113,114.32,116,109.65,99,122.05,12,4,8,0,12,2,10,0,14,8,6,0,13,8,5,0,116.2,0.57
Idaho,129,77.86,121,98.54,123,101.42,134,83.36,11,1,10,0,12,4,8,0,13,9,4,0,12,4,8,0,50.9,0.209
Troy,132,64.21,117,107.58,98,127.73,96,123.9,12,3,9,0,12,4,8,0,13,10,3,0,13,11,2,0,165.4,0.411
